what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1460770185952
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770196065
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770196932
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770197141
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770232933
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770237230
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770365268
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770366789
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770368182
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770368628
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770369376
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1460770375998
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1460770380729
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1460770380731
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1460770380733
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770396836
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1460770396874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770398542
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770400136
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1460770400186
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770400874
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770402074
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1460770402123
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770403993
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770406030
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1460770406078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770407450
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770443958
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770444925
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1460770450402
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770455359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460770457229
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1460770457253
