what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460832040088
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460832040137
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460832043803
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460832043803
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1460832044698
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460832044889
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460832044932
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1460832057304
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832095491
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832095584
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1460832095587
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832099597
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832099655
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1460832099659
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832108050
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832108110
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1460832108113
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1460832110510
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1460832115336
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1460832115698
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1460832120881
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832152154
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832153120
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1460832153128
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832160154
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832162052
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1460832162099
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1460832209775
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832211058
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832211210
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832211289
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460832212619
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1460832222819
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1460832254065
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1460832260565
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1460832263315
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460832265314
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460832274447
